Ticker,Sector,MarketCap,ROE,DER,NPM
CASS,Infrastructures,"6,0E+12","22,8E+0","41,0E-2","19,9E+0"
CBDK,Properties & Real Estate,"44,4E+12","12,9E+0","84,0E-2","67,0E+0"
CBMF,Consumer Cyclicals,"9,4E+10","-5,8E+0","50,0E-2","-4,5E+2"
CBPE,Properties & Real Estate,"46,7E+10","14,5E+0","16,0E-2","75,5E+0"
CBRE,Energy,"4,8E+12","-82,0E+0","3,2E+0","-2,7E+2"
CBUT,Consumer Non-Cyclicals,"4,3E+12","9,4E+0","2,6E+0","97,0E-2"
CCSI,Industrials,"45,1E+10","76,0E-2","40,0E-2","1,8E+0"
CDIA,Infrastructures,"2,4E+14","7,7E+0","39,0E-2","84,0E+0"
CEKA,Consumer Non-Cyclicals,"1,5E+12","13,5E+0","27,0E-2","3,8E+0"
CENT,Infrastructures,"4,9E+12","-82,3E+0","8,2E+0","-1,3E+2"
CFIN,Financials,"1,3E+12","3,3E+0","71,0E-2","19,1E+0"
CGAS,Energy,"30,8E+10","3,5E+0","45,0E-2","2,2E+0"
CHEK,Healthcare,"76,1E+10","9,5E+0","20,0E-2","15,2E+0"
CHEM,Basic Materials,"18,5E+10","29,0E-2","60,0E-2","21,0E-2"
CHIP,Technology,"1,1E+12","6,6E+0","82,0E-2","4,8E+0"
CINT,Consumer Cyclicals,"21,2E+10","6,3E+0","55,0E-2","5,9E+0"
CITA,Basic Materials,"16,4E+12","35,4E+0","4,0E-2","1,4E+2"
CITY,Properties & Real Estate,"97,3E+10","1,9E+0","21,0E-2","15,9E+0"
CLAY,Consumer Cyclicals,"6,9E+12","-70,9E+0","54,6E+0","-6,8E+0"
CLEO,Consumer Non-Cyclicals,"12,1E+12","19,7E+0","34,0E-2","21,0E+0"
CLPI,Basic Materials,"46,7E+10","11,3E+0","42,0E-2","9,2E+0"
CMNP,Infrastructures,"9,0E+12","5,6E+0","57,0E-2","25,6E+0"
CMNT,Basic Materials,"13,3E+12","-24,8E+0","4,8E+0","-11,3E+0"
CMPP,Transportation & Logistic,"94,0E+10",,"-1,5E+0","-31,8E+0"
CMRY,Consumer Non-Cyclicals,"49,2E+12","27,4E+0","25,0E-2","25,0E+0"
CNKO,Energy,"58,2E+10",,"-1,9E+0","12,5E+0"
CNMA,Consumer Cyclicals,"9,8E+12","14,3E+0","51,0E-2","15,0E+0"
CNTB,No Sector,"3,3E+10",,"-1,8E+0","-71,4E+0"
CNTX,Consumer Cyclicals,"99,4E+8",,"-1,8E+0","-71,4E+0"
COAL,Energy,"51,9E+10","5,5E+0","1,2E+0","9,0E+0"
COCO,Consumer Non-Cyclicals,"1,4E+12",,"-85,0E+0","-1,0E+2"
COIN,Financials,"52,5E+12","6,0E+0","3,0E-2","44,8E+0"
COWL,Properties & Real Estate,"24,4E+10",,"-1,3E+2","-2,1E+2"
CPIN,Consumer Non-Cyclicals,"75,9E+12","14,7E+0","37,0E-2","9,3E+0"
CPRI,Properties & Real Estate,"12,2E+10","-2,0E+0","14,0E-2","-1,3E+2"
CPRO,Consumer Non-Cyclicals,"3,9E+12","10,1E+0","78,0E-2","5,5E+0"
CRAB,Consumer Non-Cyclicals,"54,6E+10","12,9E+0","45,0E-2","6,5E+0"
CRSN,Industrials,"39,0E+10","6,7E+0","64,0E-2","4,4E+0"
CSAP,Consumer Cyclicals,"1,9E+12","3,3E+0","2,2E+0","94,0E-2"
CSIS,Properties & Real Estate,"55,2E+10","2,4E+0","48,0E-2","12,0E+0"
CSMI,Consumer Cyclicals,"20,9E+10","-76,8E+0","10,4E+0","-2,4E+2"
CSRA,Consumer Non-Cyclicals,"1,8E+12","20,2E+0","69,0E-2","22,7E+0"
CTBN,Basic Materials,"6,1E+12","24,2E+0","43,0E-2","13,7E+0"
CTRA,Properties & Real Estate,"16,1E+12","9,6E+0","79,0E-2","29,5E+0"
CTTH,Industrials,"12,4E+10","-16,9E+0","3,0E+0","-33,9E+0"
CUAN,Energy,"3,0E+14","24,1E+0","3,0E+0","18,1E+0"
CYBR,Technology,"9,7E+12","29,1E+0","67,0E-2","18,3E+0"
DAAZ,Basic Materials,"4,5E+12","16,2E+0","1,9E+0","3,5E+0"
DADA,Properties & Real Estate,"37,2E+10","51,0E-2","82,0E-2","19,8E+0"
DART,Properties & Real Estate,"56,2E+10","-21,7E+0","3,9E+0","-73,1E+0"
DATA,Infrastructures,"5,6E+12","30,8E+0","1,3E+0","34,7E+0"
DAYA,Consumer Non-Cyclicals,"3,8E+12","62,3E+0","8,1E+0","3,6E+0"
DCII,Technology,"5,6E+14","30,6E+0","49,0E-2","61,0E+0"
DEAL,Transportation & Logistic,"68,8E+8",,"-3,6E+0","-53,8E+0"
DEFI,Financials,"11,8E+10","-9,4E+0","8,0E-2","-62,2E+0"
DEPO,Consumer Cyclicals,"1,8E+12","6,7E+0","72,0E-2","4,2E+0"
DEWA,Energy,"17,6E+12","3,5E+0","1,1E+0","5,5E+0"
DEWI,Consumer Non-Cyclicals,"30,6E+10","4,2E+0","16,0E-2","14,3E+0"
DFAM,Consumer Cyclicals,"15,8E+10","-88,0E+0","13,9E+0","-30,7E+0"
DGIK,Infrastructures,"66,5E+10","8,5E+0","1,0E+0","9,7E+0"
DGNS,Healthcare,"21,3E+10","-1,2E+0","58,0E-2","-2,0E+0"
DGWG,Basic Materials,"2,3E+12","18,5E+0","2,4E+0","7,1E+0"
DIGI,Consumer Cyclicals,"5,7E+10",,"-2,7E+0","2,2E+0"
DILD,Properties & Real Estate,"1,4E+12","-1,4E+0","1,0E+0","-5,4E+0"
DIVA,Technology,"24,7E+10","22,0E-2","7,0E-2","6,0E-2"
DKFT,Basic Materials,"4,0E+12","42,0E+0","1,4E+0","41,7E+0"
DKHH,Healthcare,"21,4E+10",,"67,0E-2",
DLTA,Consumer Non-Cyclicals,"1,6E+12","18,2E+0","37,0E-2","29,3E+0"
DMAS,Properties & Real Estate,"6,3E+12","11,6E+0","6,0E-2","94,4E+0"
DMMX,Technology,"2,9E+12","3,6E+0","30,0E-2","4,8E+0"
DMND,Consumer Non-Cyclicals,"6,0E+12","6,3E+0","26,0E-2","5,0E+0"
DNAR,Financials,"3,5E+12","3,7E+0","2,5E+0","15,8E+0"
DNET,Financials,"1,3E+14","7,8E+0","49,0E-2","95,4E+0"
DOID,Energy,"2,5E+12","-1,2E+2","14,9E+0","-10,6E+0"
DOOH,Consumer Cyclicals,"1,7E+12","1,2E+0","36,0E-2","3,6E+0"
DOSS,Consumer Cyclicals,"31,2E+10","15,0E+0","54,0E-2","4,5E+0"
DPNS,Basic Materials,"10,3E+10","2,5E+0","2,0E-2","87,9E+0"
DPUM,Consumer Non-Cyclicals,"36,7E+10","-9,4E+0","2,0E+0","-4,3E+0"
DRMA,Consumer Cyclicals,"4,9E+12","21,9E+0","54,0E-2","13,4E+0"
DSFI,Consumer Non-Cyclicals,"16,0E+10","5,4E+0","68,0E-2","3,1E+0"
DSNG,Consumer Non-Cyclicals,"18,0E+12","14,6E+0","57,0E-2","17,9E+0"
DSSA,Energy,"8,5E+14","11,8E+0","94,0E-2","12,6E+0"
DUCK,Consumer Cyclicals,"22,6E+10","4,5E+0","46,0E-2","22,9E+0"
DUTI,Properties & Real Estate,"8,2E+12","2,6E+0","20,0E-2","20,1E+0"
DVLA,Healthcare,"1,9E+12","11,3E+0","56,0E-2","10,6E+0"
DWGL,Energy,"3,1E+12","40,2E+0","3,3E+0","6,6E+0"
DYAN,Industrials,"37,6E+10","7,1E+0","66,0E-2","5,5E+0"
EAST,Consumer Cyclicals,"38,4E+10","6,9E+0","5,0E-2","48,4E+0"
ECII,Consumer Cyclicals,"24,7E+10","-2,2E+0","43,0E-2","-1,5E+0"
EDGE,Technology,"9,2E+12","7,7E+0","1,2E+0","23,1E+0"
EKAD,Basic Materials,"66,4E+10","2,6E+0","8,0E-2","8,0E+0"
ELIT,Technology,"36,6E+10","19,8E+0","1,1E+0","8,4E+0"
ELPI,Transportation & Logistic,"5,2E+12","11,8E+0","23,0E-2","34,5E+0"
ELSA,Energy,"3,7E+12","13,4E+0","97,0E-2","6,6E+0"
ELTY,Properties & Real Estate,"95,7E+10","9,0E-2","46,0E-2","50,0E-2"
EMAS,Basic Materials,"60,4E+12","-6,9E+0","84,0E-2","-2,4E+4"
EMDE,Properties & Real Estate,"32,5E+10","3,3E+0","56,0E-2","58,3E+0"
EMTK,Technology,"75,2E+12","13,7E+0","12,0E-2","54,2E+0"
ENAK,Consumer Cyclicals,"1,5E+12","-15,9E+0","3,4E+0","-3,6E+0"
ENRG,Energy,"26,0E+12","11,2E+0","1,3E+0","22,7E+0"
ENVY,Technology,"9,0E+10",,"-1,3E+0","-16,9E+2"
ENZO,Consumer Non-Cyclicals,"9,3E+10","-6,5E+0","1,6E+0","-3,4E+0"
EPAC,Basic Materials,"10,2E+10","-16,1E+0","2,8E+0","-9,0E+0"
EPMT,Consumer Non-Cyclicals,"6,3E+12","9,9E+0","59,0E-2","3,1E+0"
ERAA,Consumer Cyclicals,"6,6E+12","10,7E+0","2,0E+0","2,0E+0"
ERAL,Consumer Cyclicals,"1,5E+12","9,9E+0","73,0E-2","3,9E+0"
ERTX,Consumer Cyclicals,"21,9E+10","9,2E+0","1,7E+0","3,0E+0"
ESIP,Basic Materials,"12,5E+10","1,4E+0","4,0E-2","3,1E+0"
ESSA,Basic Materials,"10,7E+12","6,2E+0","10,0E-2","17,3E+0"
ESTA,Consumer Cyclicals,"55,8E+10","-2,8E+0","89,0E-2","-14,9E+0"
ESTI,Consumer Cyclicals,"38,1E+10","6,1E+0","1,8E+0","5,2E+0"
ETWA,Energy,"32,7E+10",,"-3,1E+0","-2,1E+0"
EURO,Consumer Non-Cyclicals,"74,9E+10","2,9E+0","12,0E-2","16,1E+0"
EXCL,Infrastructures,"52,6E+12","-6,6E+0","2,4E+0","-6,9E+0"
